pitch_accel	pitch angle	motor0	motor1	motor2	motor3
3.686269	-1.070134	1307	1292	1307	1292
-2.484763	-2.566911	1292	1307	1292	1307
-7.600454	-7.555296	1274	1325	1274	1325
8.638783	-3.552002	1319	1280	1319	1280
-3.808059	-4.464913	1294	1305	1294	1305
-7.165445	-8.043827	1281	1318	1281	1318
8.282351	-3.396758	1322	1277	1322	1277
-12.574745	-8.537135	1273	1326	1273	1326
-9.069813	-13.158643	1275	1324	1275	1324
10.489990	-7.142737	1329	1270	1329	1270
-17.119703	-15.992427	1253	1346	1253	1346
-4.848043	-18.937629	1282	1317	1282	1317
6.440345	-14.109711	1322	1277	1322	1277
-17.949665	-24.199170	1246	1353	1246	1353
11.787374	-18.027300	1328	1271	1328	1271
-7.668286	-19.885403	1288	1311	1288	1311
-20.576471	-32.332486	1233	1366	1233	1366
31.626383	-14.707874	1386	1213	1386	1213
-25.921186	-26.003683	1240	1359	1240	1359
-26.771473	-40.664011	1221	1378	1221	1378
9.221063	-36.350188	1316	1283	1316	1283
-9.107038	-39.971280	1276	1323	1276	1323
15.722975	-28.885329	1351	1248	1351	1248
-17.838392	-38.077211	1249	1350	1249	1350
15.452966	-30.899584	1331	1268	1331	1268
-0.393550	-30.298504	1299	1300	1299	1300
4.019437	-25.475872	1320	1279	1320	1279
-8.739721	-30.261412	1272	1327	1272	1327
17.033070	-20.125341	1347	1252	1347	1252
-3.389764	-19.098599	1302	1297	1302	1297
-3.305202	-19.897696	1293	1306	1293	1306
-15.116405	-27.746180	1257	1342	1257	1342
16.558895	-15.701643	1358	1241	1358	1241
-12.679495	-19.305834	1279	1320	1279	1320
-24.247881	-31.215885	1236	1363	1236	1363
21.306332	-18.105063	1363	1236	1363	1236
16.976562	-7.445684	1352	1247	1352	1247
-29.298073	-22.157569	1223	1376	1223	1376
27.941114	-5.514185	1382	1217	1382	1217
7.183069	1.211457	1333	1266	1333	1266
-18.717196	-9.114718	1247	1352	1247	1352
20.811035	3.774223	1364	1235	1364	1235
-0.968853	6.282618	1313	1286	1313	1286
-6.648829	3.289525	1285	1314	1285	1314
13.593422	13.666113	1353	1246	1353	1246
-20.304050	3.874091	1251	1348	1251	1348
16.019171	12.808205	1346	1253	1346	1253
-8.846546	11.915109	1297	1302	1297	1302
-15.931070	3.735648	1259	1340	1259	1340
16.825018	14.094451	1353	1246	1353	1246
5.755466	19.176348	1327	1272	1327	1272
-7.024712	16.930909	1291	1308	1291	1308
10.500413	25.144196	1344	1255	1344	1255
-18.769918	16.857210	1260	1339	1260	1339
17.173069	27.676648	1357	1242	1357	1242
-16.053905	21.804067	1273	1326	1273	1326
-11.246385	16.558683	1275	1324	1275	1324
18.716093	28.459680	1363	1236	1363	1236
-12.075683	23.863162	1280	1319	1280	1319
0.883801	25.111100	1309	1290	1309	1290
-1.364221	27.238736	1314	1285	1314	1285
1.356029	29.172504	1313	1286	1313	1286
16.217968	39.813107	1358	1241	1358	1241
-16.027771	33.847225	1274	1325	1274	1325
-5.649854	32.336363	1296	1303	1296	1303
9.478178	39.625025	1341	1258	1341	1258
-6.493353	41.519287	1314	1285	1314	1285
-15.533879	34.165788	1267	1332	1267	1332
18.359476	46.620122	1368	1231	1368	1231
-9.998586	44.105071	1293	1306	1293	1306
7.390544	48.543251	1328	1271	1328	1271
28.450003	66.150308	1396	1203	1396	1203
-20.782173	55.224496	1252	1347	1252	1347
-19.604176	46.038625	1260	1339	1260	1339
25.598248	63.248944	1394	1205	1394	1205
11.603608	72.678894	1356	1243	1356	1243
-16.270214	62.932336	1259	1340	1259	1340
21.361582	77.401131	1382	1217	1382	1217
-11.808862	72.686440	1285	1314	1285	1314
12.536285	79.161930	1342	1257	1342	1257
17.114834	89.817548	1364	1235	1364	1235
-7.537760	85.378975	1288	1311	1288	1311
9.108300	91.026026	1340	1259	1340	1259
-2.736814	91.227698	1312	1287	1312	1287
5.256374	94.405174	1328	1271	1328	1271
6.042192	98.701471	1334	1265	1334	1265
-0.970213	98.921424	1313	1286	1313	1286
0.089207	99.748856	1317	1282	1317	1282
-12.983758	92.886543	1277	1322	1277	1322
14.789845	100.908554	1353	1246	1353	1246
-16.963099	92.007864	1267	1332	1267	1332
-4.713470	89.161670	1297	1302	1297	1302
7.502236	92.992508	1331	1268	1331	1268
-6.983608	88.119578	1287	1312	1287	1312
16.577562	95.962352	1351	1248	1351	1248
15.384976	105.156279	1359	1240	1359	1240
-7.635431	100.985587	1292	1307	1292	1307
2.790930	101.495898	1315	1284	1315	1284
-0.336631	101.264811	1312	1287	1312	1287
5.137933	102.886009	1321	1278	1321	1278
-3.454118	101.266670	1305	1294	1305	1294
-12.321433	92.310679	1267	1332	1267	1332
-11.453810	84.923148	1274	1325	1274	1325
9.371637	89.654183	1335	1264	1335	1264
-8.784237	85.088259	1288	1311	1288	1311
4.957014	86.703420	1319	1280	1319	1280
18.220997	96.801478	1362	1237	1362	1237
21.988125	109.560883	1377	1222	1377	1222
-16.418577	100.019360	1265	1334	1265	1334
15.453938	106.190968	1344	1255	1344	1255
7.805598	110.107040	1333	1266	1333	1266
-12.575438	101.048541	1267	1332	1267	1332
13.298679	108.091223	1349	1250	1349	1250
16.557138	115.329719	1351	1248	1351	1248
-1.180993	113.985074	1308	1291	1308	1291
-2.950515	110.216832	1295	1304	1295	1304
5.836909	112.547696	1326	1273	1326	1273
4.665107	112.672734	1315	1284	1315	1284
17.582453	120.170498	1353	1246	1353	1246
-15.414551	109.421337	1260	1339	1260	1339
21.337744	119.499707	1365	1234	1365	1234
2.870212	119.382346	1314	1285	1314	1285
-5.877065	112.486708	1280	1319	1280	1319
9.915933	117.206180	1338	1261	1338	1261
-18.815575	103.433812	1244	1355	1244	1355
26.596224	115.764832	1376	1223	1376	1223
-19.738129	105.598199	1263	1336	1263	1336
-16.348938	93.027925	1249	1350	1249	1350
16.633326	100.835884	1352	1247	1352	1247
-12.182553	92.439222	1270	1329	1270	1329
17.073568	99.110883	1346	1253	1346	1253
-11.217041	92.095572	1276	1323	1276	1323
-13.165966	82.547766	1263	1336	1263	1336
18.391140	91.798264	1358	1241	1358	1241
-16.315382	81.321961	1258	1341	1258	1341
14.575209	86.498928	1337	1262	1337	1262
-10.267616	79.655975	1276	1323	1276	1323
15.690366	85.129523	1338	1261	1338	1261
21.718294	95.530093	1364	1235	1364	1235
-19.874212	82.544893	1245	1354	1245	1354
25.748718	93.971062	1369	1230	1369	1230
0.501447	92.826706	1306	1293	1306	1293
2.240152	91.437685	1304	1295	1304	1295
-0.138092	90.568638	1307	1292	1307	1292
-14.876799	80.295306	1259	1340	1259	1340
26.930746	92.365521	1372	1227	1372	1227
18.428823	100.590432	1354	1245	1354	1245
-20.605783	86.788332	1242	1357	1242	1357
27.951229	101.919317	1388	1211	1388	1211
34.436012	119.640350	1403	1196	1403	1196
-3.274261	116.080678	1297	1302	1297	1302
5.172825	115.949476	1314	1285	1314	1285
-2.323341	114.022195	1305	1294	1305	1294
-19.212385	100.508487	1245	1354	1245	1354
29.739403	116.151381	1393	1206	1393	1206
26.268778	128.801501	1379	1220	1379	1220
-16.191017	118.557167	1264	1335	1264	1335
-10.415401	108.898282	1265	1334	1265	1334
9.885727	112.658203	1333	1266	1333	1266
-9.423230	105.086887	1275	1324	1275	1324
8.479033	106.273472	1319	1280	1319	1280
-4.268559	102.283788	1293	1306	1293	1306
-1.816416	98.281395	1292	1307	1292	1307
-0.511387	95.506006	1298	1301	1298	1301
-9.624185	88.226616	1275	1324	1275	1324
14.464339	93.041778	1336	1263	1336	1263
-16.792837	81.686491	1253	1346	1253	1346
-4.774901	76.485693	1284	1315	1284	1315
13.906371	82.416779	1340	1259	1340	1259
-13.772327	72.381127	1259	1340	1259	1340
12.621634	76.578051	1330	1269	1330	1269
-8.646738	70.107269	1276	1323	1276	1323
6.729348	70.088631	1309	1290	1309	1290
22.075947	81.104851	1365	1234	1365	1234
-15.726266	68.855900	1247	1352	1247	1352
10.398231	70.986718	1319	1280	1319	1280
7.652088	72.996569	1319	1280	1319	1280
-7.889666	66.146106	1274	1325	1274	1325
15.740331	72.867328	1343	1256	1343	1256
-17.362637	61.167562	1249	1350	1249	1350
15.785144	67.373329	1339	1260	1339	1260
14.937152	73.857433	1341	1258	1341	1258
-10.402706	65.873283	1268	1331	1268	1331
-5.323484	58.522594	1270	1329	1270	1329
5.654408	57.245195	1301	1298	1301	1298
18.255526	65.019643	1347	1252	1347	1252
-14.205326	54.041868	1252	1347	1252	1347
23.943619	63.893336	1357	1242	1357	1242
14.540338	70.170116	1340	1259	1340	1259
-15.783853	54.271603	1227	1372	1227	1372
-9.708950	46.250218	1265	1334	1265	1334
14.538319	51.651889	1333	1266	1333	1266
-0.030705	48.374191	1289	1310	1289	1310
-3.751096	42.126289	1274	1325	1274	1325
13.263559	46.289846	1326	1273	1326	1273
-7.549251	38.393575	1265	1334	1265	1334
-10.737766	30.633846	1265	1334	1265	1334
-4.358378	24.733417	1273	1326	1273	1326
1.605131	23.400781	1296	1303	1296	1303
5.853265	25.002778	1311	1288	1311	1288
-2.331835	21.354637	1284	1315	1284	1315
8.620286	24.427870	1318	1281	1318	1281
-10.767000	17.407405	1267	1332	1267	1332
4.638836	17.895678	1304	1295	1304	1295
-9.704512	11.190650	1268	1331	1268	1331
-1.734267	7.689021	1283	1316	1283	1316
8.045082	11.612409	1321	1278	1321	1278
-17.540821	0.208320	1243	1356	1243	1356
21.921759	9.815754	1349	1250	1349	1250
-8.284380	5.923460	1281	1318	1281	1318
-16.336105	-4.555055	1247	1352	1247	1352
27.364052	9.866545	1373	1226	1373	1226
-28.546417	-4.822659	1226	1373	1226	1373
-14.625632	-13.590792	1254	1345	1254	1345
12.965160	-5.901777	1337	1262	1337	1262
-18.447094	-17.968123	1237	1362	1237	1362
9.810716	-13.816376	1318	1281	1318	1281
-5.865340	-14.772350	1293	1306	1293	1306
-27.779341	-32.548791	1207	1392	1207	1392
28.665764	-17.039880	1375	1224	1375	1224
-28.734299	-30.224496	1230	1369	1230	1369
-30.427406	-47.888833	1205	1394	1205	1394
31.636440	-30.267930	1383	1216	1383	1216
-23.756544	-43.064678	1230	1369	1230	1369
-14.469029	-51.286972	1252	1347	1252	1347
18.922295	-39.649460	1352	1247	1352	1247
-26.130192	-53.368968	1224	1375	1224	1375
1.605868	-52.277589	1298	1301	1298	1301
4.938281	-47.101229	1319	1280	1319	1280
-20.907518	-58.359390	1236	1363	1236	1363
9.178474	-52.793700	1320	1279	1320	1279
22.125763	-42.048654	1348	1251	1348	1251
10.136084	-32.904562	1341	1258	1341	1258
-16.901258	-41.358089	1252	1347	1252	1347
6.508667	-37.283507	1315	1284	1315	1284
-0.258303	-33.599356	1314	1285	1314	1285
-23.619762	-45.188564	1236	1363	1236	1363
24.134445	-31.376827	1364	1235	1364	1235
15.065937	-20.624915	1350	1249	1350	1249
-6.112577	-19.980498	1300	1299	1300	1299
-26.375219	-32.896805	1231	1368	1231	1368
21.158794	-20.585100	1358	1241	1358	1241
10.721019	-13.155477	1335	1264	1335	1264
-18.146885	-22.857764	1248	1351	1248	1351
24.907293	-7.048119	1377	1222	1377	1222
-17.310049	-15.847030	1254	1345	1254	1345
10.076931	-10.900517	1323	1276	1323	1276
-9.812934	-14.002103	1282	1317	1282	1317
-22.801304	-26.241660	1235	1364	1235	1364
34.057072	-5.490260	1402	1197	1402	1197
-32.303535	-20.450997	1222	1377	1222	1377
-9.703224	-25.018194	1273	1326	1273	1326
13.019446	-14.468977	1350	1249	1350	1249
-18.668625	-25.573075	1241	1358	1241	1358
20.121210	-12.512824	1363	1236	1363	1236
-18.627192	-19.427007	1262	1337	1262	1337
-29.616163	-35.563558	1214	1385	1214	1385
29.080420	-16.753612	1391	1208	1391	1208
-22.369091	-28.969508	1235	1364	1235	1364
-9.150691	-32.210800	1279	1320	1279	1320
11.690252	-24.055550	1337	1262	1337	1262
-11.787322	-29.582241	1268	1331	1268	1331
17.697540	-16.897772	1361	1238	1361	1238
-8.677243	-16.416776	1300	1299	1300	1299
-2.376340	-14.927240	1305	1294	1305	1294
-14.110776	-20.676532	1268	1331	1268	1331
-7.434119	-22.445638	1288	1311	1288	1311
3.646766	-19.342467	1312	1287	1312	1287
-6.852335	-22.672650	1280	1319	1280	1319
11.176031	-13.716662	1342	1257	1342	1257
-7.941708	-15.429883	1289	1310	1289	1310
15.275578	-4.514926	1353	1246	1353	1246
13.483267	3.196885	1338	1261	1338	1261
15.668076	13.615265	1353	1246	1353	1246
-15.498021	7.450822	1270	1329	1270	1329
17.818129	19.389701	1362	1237	1362	1237
-4.674469	18.764687	1299	1300	1299	1300
4.187418	21.644925	1317	1282	1317	1282
-2.062047	23.856832	1314	1285	1314	1285
-3.868558	25.396141	1310	1289	1310	1289
-14.808613	18.973118	1270	1329	1270	1329
-2.125251	19.019762	1302	1297	1302	1297
8.343517	26.331958	1339	1260	1339	1260
-5.362343	24.203730	1292	1307	1292	1307
24.346697	39.192203	1379	1220	1379	1220
-18.823595	30.533591	1260	1339	1260	1339
13.050648	37.828544	1341	1258	1341	1258
9.430498	45.597583	1344	1255	1344	1255
-8.599457	41.533363	1285	1314	1285	1314
9.319155	48.213321	1339	1260	1339	1260
-4.476442	45.359629	1291	1308	1291	1308
7.100771	49.909428	1329	1270	1329	1270
-0.823834	50.509745	1309	1290	1309	1290
0.933268	50.405419	1306	1293	1306	1293
-0.494055	51.406527	1311	1288	1311	1288
-8.595238	47.765374	1288	1311	1288	1311
13.931267	56.308299	1349	1250	1349	1250
-24.923300	42.336059	1235	1364	1235	1364
12.850153	49.415597	1341	1258	1341	1258
-13.127352	43.532133	1276	1323	1276	1323
10.434467	47.344863	1325	1274	1325	1274
26.035521	62.014425	1381	1218	1381	1218
-28.164370	45.953777	1225	1374	1225	1374
-5.563537	42.728573	1289	1310	1289	1310
14.140350	51.947963	1352	1247	1352	1247
-11.839159	43.142250	1261	1338	1261	1338
27.537292	58.415461	1383	1216	1383	1216
